,world_x,world_y,eye_x,eye_y,eye_w,eye_h,pipil_x,pupil_y,pupil_w,pupil_h
0,448,289,108,165,372,172,128,194,166,133
1,355,354,136,222,373,172,214,214,199,159
2,367,315,108,165,372,172,194,174,199,159
3,349,280,136,165,373,172,214,154,199,159
4,344,354,136,222,373,172,214,214,199,159
5,244,307,136,165,373,172,313,174,199,159
6,268,300,136,165,373,172,293,174,199,159
7,195,342,136,222,373,172,369,245,138,110
8,250,273,108,165,372,172,327,178,166,133
9,284,302,136,165,373,172,293,174,199,159
10,422,355,108,251,372,172,161,261,166,133
11,349,245,136,136,373,172,214,114,199,159
12,343,365,136,222,373,172,214,234,199,159
13,327,303,136,136,373,172,254,134,199,159
14,337,313,136,194,373,172,234,174,199,159
15,328,264,108,136,372,172,254,134,199,159
16,300,260,136,136,373,172,273,134,200,159
17,223,350,209,233,311,143,344,211,166,133
18,235,263,137,137,311,144,344,211,166,133
19,339,355,136,222,373,172,234,234,199,159
20,409,285,108,165,372,172,161,178,166,133
21,407,320,108,194,372,172,134,194,199,159
22,326,257,136,136,373,172,234,134,199,159
23,227,303,108,194,372,172,344,194,166,133
24,338,311,161,161,311,144,234,154,199,159
25,233,349,209,209,311,143,344,211,166,133
26,297,356,136,222,373,172,273,214,200,159
27,392,258,108,136,372,172,174,154,199,159
28,350,384,136,251,373,172,214,254,199,159
29,255,320,136,194,373,172,327,194,166,133
30,311,296,136,136,373,172,254,134,199,159
31,227,322,136,194,373,172,344,211,166,133
32,219,303,137,185,311,143,360,194,166,133
33,437,315,108,194,372,172,145,211,166,133
34,331,311,108,194,372,172,234,174,199,159
35,318,295,108,136,372,172,234,134,199,159
36,319,308,136,136,373,172,254,154,199,159
37,299,261,136,136,373,172,273,134,200,159
38,348,276,136,165,373,172,214,154,199,159
39,440,315,108,194,372,172,145,211,166,133
40,338,311,161,161,311,144,261,161,166,133
41,368,309,108,165,372,172,194,174,199,159
42,343,392,136,251,373,172,214,254,199,159
43,341,283,136,165,373,172,214,154,199,159
44,291,287,136,136,373,172,273,134,200,159
45,410,322,108,194,372,172,154,194,199,159
46,227,350,209,209,311,143,360,211,166,133
47,360,283,108,136,372,172,203,162,139,110
48,314,300,136,136,373,172,254,134,199,159
49,300,313,136,165,373,172,254,154,199,159
50,344,330,136,222,373,172,214,214,199,159
51,245,262,108,165,372,172,327,161,166,133
52,263,280,136,136,373,172,293,154,199,159
53,438,278,108,165,372,172,145,178,166,133
54,341,366,136,222,373,172,214,234,199,159
55,429,284,108,165,372,172,145,178,166,133
56,323,292,108,136,372,172,254,134,199,159
57,246,349,136,222,373,172,313,214,199,159
58,347,246,108,136,372,172,214,134,199,159
59,352,268,108,165,372,172,214,154,199,159
60,300,282,108,136,372,172,254,154,199,159
61,417,335,108,222,372,172,154,214,199,159
62,317,305,136,136,373,172,254,134,199,159
63,317,304,108,136,372,172,254,134,199,159
64,360,353,136,222,373,172,214,234,199,159
65,249,347,209,233,311,143,313,214,199,159
66,312,297,136,136,373,172,254,134,199,159
67,235,331,136,194,373,172,344,211,166,133
68,256,337,136,194,373,172,344,211,166,133
69,196,327,136,222,373,172,369,231,138,111
70,446,299,108,194,372,172,128,211,166,133
71,365,356,136,222,373,172,194,234,199,159
72,269,311,136,165,373,172,293,174,199,159
73,317,313,136,165,373,172,254,154,199,159
74,195,291,108,165,372,172,383,217,138,111
75,268,299,136,165,373,172,293,154,199,159
76,237,313,209,161,311,144,344,161,166,133
77,362,267,136,165,373,172,194,154,199,159
78,347,312,136,194,373,172,214,174,199,159
79,397,308,108,194,372,172,154,174,199,159
80,364,271,108,136,372,172,203,162,139,110
81,358,272,108,165,372,172,194,154,199,159
82,379,358,136,251,373,172,194,234,199,159
83,294,265,136,136,373,172,273,134,200,159
84,319,297,108,136,372,172,254,134,199,159
85,366,318,136,194,373,172,194,194,199,159
86,417,370,108,251,372,172,161,261,166,133
87,238,288,95,130,447,206,313,154,199,159
88,341,277,108,165,372,172,234,154,199,159
89,487,300,108,194,372,172,128,211,166,133
90,333,290,108,165,372,172,214,154,199,159
91,318,284,136,136,373,172,254,134,199,159
92,244,329,136,194,373,172,313,214,199,159
93,269,307,136,165,373,172,293,174,199,159
94,362,371,136,251,373,172,244,261,166,133
95,317,259,136,136,373,172,254,134,199,159
96,222,358,209,233,311,143,360,228,166,132
97,440,284,108,165,372,172,128,194,166,133
98,408,337,108,194,372,172,154,214,199,159
99,356,251,108,136,372,172,194,134,199,159
100,224,348,95,198,447,207,313,194,199,159
101,300,318,136,165,373,172,254,174,199,159
102,432,282,108,165,372,172,134,174,199,159
103,416,268,108,165,372,172,134,154,199,159
104,377,303,108,165,372,172,174,174,199,159
105,294,356,136,222,373,172,273,214,200,159
106,356,250,136,136,373,172,214,134,199,159
107,418,251,108,136,372,172,161,161,166,133
